title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"The Wagons Roll at Night",movie,"Drama, Romance",1941,tt0034370,6.3,1294,
Eva,movie,"Drama, Romance",1962,tt0059160,6.4,2145,
"Love Cuts",movie,Drama,2010,tt2064854,5.2,41,
"One Night",movie,Drama,2012,tt1817286,6.2,1453,
"The Minister",movie,Drama,2011,tt1781843,6.7,3049,
"Black Girl",movie,Drama,1966,tt0060758,7.4,6556,
"Small Apartments",movie,"Comedy, Crime, Drama",2012,tt1272886,6.1,8552,
"Working Girls",movie,Drama,1986,tt0092238,6.8,2045,
Rush,movie,"Biography, Drama, Sport",2013,tt1979320,8.1,530612,
"Ben 10: Destroy All Aliens",movie,"Action, Animation, Family",2012,tt2290147,5.9,2257,
"Goodnight Moon & Other Sleepytime Tales",movie,"Animation, Family, Fantasy",1999,tt0239438,7.8,109,
"The Bling Ring",movie,"Biography, Crime, Drama",2013,tt2132285,5.6,93898,
RoboCop,movie,"Action, Crime, Sci-Fi",2014,tt1234721,6.1,243744,
"The Man with the Iron Fists",movie,Action,2012,tt1258972,5.4,64794,
"Zero Dark Thirty",movie,"Drama, History, Thriller",2012,tt1790885,7.4,328816,
"Witness Protection",movie,"Crime, Drama",1999,tt0191655,6.2,2207,
"Normal the Düsseldorf Ripper",movie,"Crime, Drama, Thriller",2009,tt1342408,5.9,340,
"Visiting Room",movie,"Documentary, Drama, Romance",2011,tt2140645,7.7,106,
"Dumb and Dumber To",movie,Comedy,2014,tt2096672,5.6,149003,
"The Woman in Red",movie,Drama,1935,tt0027228,6.1,900,
"Original Cast Album: Company",movie,"Documentary, Music",1970,tt0293475,8,1146,
"The Hunger Games: Catching Fire",movie,"Action, Adventure, Sci-Fi",2013,tt1951264,7.5,742823,
"Year of the Devil",movie,"Comedy, Drama, Fantasy",2002,tt0282917,7.3,1163,
"Collision Course",movie,"Action, Comedy, Crime",1989,tt0097081,4.7,1819,US
"HOUBA! On the Trail of the Marsupilami",movie,"Adventure, Comedy, Family",2012,tt1723642,5.5,4397,
"The Amazing Spider-Man 2",movie,"Action, Adventure, Sci-Fi",2014,tt1872181,6.6,559197,
"The Machine to Kill Bad People",movie,"Comedy, Fantasy",1952,tt0040559,6.7,1002,
"Two Rabbits",movie,"Action, Crime, Drama",2012,tt1753722,7.3,5589,
"Second Best",movie,Drama,1994,tt0111102,6.8,2024,
"God Is the Bigger Elvis",movie,"Biography, Documentary, Short",2012,tt2210633,6.9,630,
"Paradise: Love",movie,Drama,2012,tt1403214,7,10517,
Mud,movie,"Adventure, Drama",2012,tt1935179,7.4,193737,
"The Loving Story",movie,"Documentary, Drama, History",2011,tt1759682,7.7,986,
Vendetta,movie,"Drama, History",1999,tt0162735,6.1,1363,
"Heaven, Hell",movie,Documentary,2010,tt1686904,6.1,56,
"Kept Husbands",movie,"Drama, Romance",1931,tt0022021,5.8,667,
"The Magician and the Human Pump",movie,"Fantasy, Short",1901,tt0225662,6.5,786,
"The Brave One",movie,"Drama, Family",1956,tt0049030,6.6,1182,
"The World's End",movie,"Action, Comedy, Sci-Fi",2013,tt1213663,6.9,304949,
"An Impossible Balancing Feat",movie,"Fantasy, Short",1902,tt0227866,6.1,548,
"This Is the End",movie,"Comedy, Fantasy",2013,tt1245492,6.6,443129,
"Battle of the Year",movie,"Drama, Music",2013,tt1532958,5,9764,
"Captain Phillips",movie,"Action, Biography, Crime",2013,tt1535109,7.8,505644,
"Evil Dead",movie,Horror,2013,tt1288558,6.5,204969,
"Identity Thief",movie,"Comedy, Crime, Drama",2013,tt2024432,5.7,143912,
"The Hangover Part III",movie,"Comedy, Crime",2013,tt1951261,5.8,346471,
"Cloudy with a Chance of Meatballs 2",movie,"Adventure, Animation, Comedy",2013,tt1985966,6.3,119419,
"I Want You",movie,"Drama, Romance",2012,tt1797504,6.7,17084,
"The Canyons",movie,"Drama, Thriller",2013,tt2292959,3.8,12261,
Snowpiercer,movie,"Action, Sci-Fi, Thriller",2013,tt1706620,7.1,403453,
"White Mile",movie,"Drama, Sport, Thriller",1994,tt0111704,5.8,833,
"City Dump: The Story of the 1951 CCNY Basketball Scandal",movie,"Documentary, History, Sport",1998,tt0204969,7.3,67,
"Hemingway & Gellhorn",movie,"Biography, Drama, Romance",2012,tt0423455,6.3,10806,
"What's in a Name?",movie,"Comedy, Drama",2012,tt2179121,7.3,19164,
"The Family",movie,"Comedy, Crime, Thriller",2013,tt2404311,6.3,125367,
"In Turmoil",movie,"Drama, Thriller",2011,tt1814672,4.8,192,
"Les papas du dimanche",movie,"Comedy, Drama",2012,tt2102364,5.6,149,
"State's Attorney",movie,Drama,1932,tt0023507,6.6,427,
"A Turtle's Tale 2: Sammy's Escape from Paradise",movie,"Adventure, Animation, Family",2012,tt2288005,5.6,2638,
"Jupiter's Darling",movie,"Adventure, Comedy, Fantasy",1955,tt0048239,5.7,717,
"Paul Robeson: Tribute to an Artist",movie,"Biography, Documentary, Music",1979,tt0079704,7.5,536,
"The Normal Heart",movie,"Biography, Drama, History",2014,tt1684226,7.9,38566,
"Pitch Perfect",movie,"Comedy, Music, Romance",2012,tt1981677,7.1,339007,
"Dear White People",movie,"Comedy, Drama, Romance",2014,tt2235108,6.2,26844,
"Goodbye, My Fancy",movie,"Comedy, Romance",1951,tt0043595,6,997,
"Cool Kids Don't Cry",movie,"Drama, Family, Sport",2012,tt1800372,7.4,4224,
Paddington,movie,"Adventure, Comedy, Family",2014,tt1109624,7.3,145146,
"All Is Well",movie,Drama,2011,tt1773377,6.4,51,
"One Nation Under Dog",movie,"Documentary, News",2012,tt2140221,7.6,268,
"White House Down",movie,"Action, Drama, Thriller",2013,tt2334879,6.3,242415,
"Olympus Has Fallen",movie,"Action, Thriller",2013,tt2302755,6.5,299146,
"Dragnet Girl",movie,"Crime, Drama, Romance",1933,tt0024120,6.9,1179,
Diana,movie,"Biography, Drama, Romance",2013,tt1758595,5.6,21180,
"The Iceman Tapes: Conversations with a Killer",movie,Documentary,1992,tt0874289,7.5,1137,
"The Olympics in Mexico",movie,"Documentary, Sport",1969,tt0064756,7.1,158,
Pusinky,movie,"Comedy, Drama",2007,tt0422981,5.9,461,
"Big Top Scooby-Doo!",movie,"Adventure, Animation, Comedy",2012,tt2235542,6.7,2341,
"Behind the Candelabra",movie,"Biography, Drama, Music",2013,tt1291580,7,46194,
"Flower Buds",movie,Drama,2011,tt1741246,6.5,215,
"Orbis Pictus",movie,"Drama, Fantasy",1997,tt0133137,7.2,376,
"The Grand Budapest Hotel",movie,"Adventure, Comedy, Crime",2014,tt2278388,8.1,919960,
"Tonight or Never",movie,"Comedy, Romance",1931,tt0022489,6.5,1767,
"Hard Times: Lost on Long Island",movie,Documentary,2012,tt2223810,7.3,223,
"Shouting Fire: Stories from the Edge of Free Speech",movie,Documentary,2009,tt1333657,7.4,306,
Lore,movie,"Drama, Romance, War",2012,tt1996310,7.1,16223,
"Assassin's Creed",movie,"Action, Adventure, Sci-Fi",2016,tt2094766,5.6,213194,
"Happiness Never Comes Alone",movie,"Comedy, Romance",2012,tt1872880,6.5,5676,
"The Karamazov Brothers",movie,Drama,2008,tt1080716,7.5,1274,
"About Time",movie,"Comedy, Drama, Fantasy",2013,tt2194499,7.8,408967,
"The Hobbit: The Battle of the Five Armies",movie,"Adventure, Fantasy",2014,tt2310332,7.4,593145,
"Batman: The Dark Knight Returns, Part 1",movie,"Action, Animation, Crime",2012,tt2313197,7.9,65026,
"Granny's Funeral",movie,"Comedy, Drama",2012,tt2399495,6,975,
"Polski film",movie,Comedy,2012,tt2197242,6.2,183,
"Nic proti nicemu",movie,Comedy,2011,tt1937261,6.4,35,
"The Confidant",movie,"Comedy, Drama, History",2012,tt2066986,6.3,264,
"DonT Stop",movie,"Drama, Music",2012,tt1934241,6.2,158,
"Forest Creatures",movie,"Comedy, Thriller",2010,tt1517248,6.6,788,
"Without Warning: The James Brady Story",movie,Drama,1991,tt0103275,6.3,310,
"Mea Maxima Culpa: Silence in the House of God",movie,Documentary,2012,tt2111478,8,4165,
"The Incredible Burt Wonderstone",movie,Comedy,2013,tt0790628,5.9,76883,
Godzilla,movie,"Action, Adventure, Sci-Fi",2014,tt0831387,6.4,452301,
Angel,movie,Drama,2005,tt0448992,5.1,329,
"After Lucia",movie,Drama,2012,tt2368749,7.1,7183,
"Ernest & Celestine",movie,"Adventure, Animation, Comedy",2012,tt1816518,7.8,23117,
"Un día en el paraíso",movie,"Comedy, Romance",2003,tt0309817,5.7,257,
"30° couleur",movie,"Comedy, Drama",2012,tt2113587,4.8,125,
"Inventing David Geffen",movie,"Biography, Documentary, History",2012,tt2515126,7.6,603,
"Do Not Disturb",movie,"Comedy, Drama, Romance",2012,tt2193782,4.9,795,
"Left of the Dial",movie,Documentary,2005,tt0454866,6.8,188,
"Barbie: The Princess & the Popstar",movie,"Animation, Family, Musical",2012,tt2396690,5.9,3261,
Nebraska,movie,Drama,2013,tt1821549,7.7,125882,
"Paradise: Faith",movie,Drama,2012,tt2371824,6.7,5414,
"A Month in Thailand",movie,Comedy,2012,tt2186665,5.7,650,
"The Blue Tiger",movie,"Adventure, Comedy, Family",2012,tt2251519,5.8,147,
"The Hunger Games: Mockingjay - Part 1",movie,"Action, Adventure, Sci-Fi",2014,tt1951265,6.6,520454,
"The Hunger Games: Mockingjay - Part 2",movie,"Action, Adventure, Sci-Fi",2015,tt1951266,6.6,390144,
Mama,movie,"Fantasy, Horror, Thriller",2013,tt2023587,6.2,195350,
"Before Midnight",movie,"Drama, Romance",2013,tt2209418,7.9,178265,
"Capturing Mary",movie,Drama,2007,tt0899052,6.7,2186,
"The Grand Heist",movie,"Action, Comedy, History",2012,tt2448584,6.2,995,
"First Cousin Once Removed",movie,Documentary,2012,tt2615134,7.5,415,
"Freedom on My Mind",movie,Documentary,1994,tt0109839,8,353,
"Long Live the Family",movie,"Crime, Drama",2011,tt2241479,6.7,157,
"The Dream Team",movie,"Comedy, Sport",2012,tt1850394,5.4,4016,
"The Girl",movie,"Biography, Drama",2012,tt2132485,6.2,7317,
"Promised Land",movie,Drama,2012,tt2091473,6.6,40430,
"A Perfect Plan",movie,"Adventure, Comedy, Romance",2012,tt1986843,6.3,10151,
"George Lopez: It's Not Me, It's You",movie,"Comedy, Documentary",2012,tt2270274,5.4,311,
"Clear History",movie,Comedy,2013,tt2279864,6.4,19983,
Carrie,movie,"Drama, Horror, Thriller",2013,tt1939659,5.8,151776,
"Scenes from a Marriage",movie,Drama,1974,tt6725014,8.3,9397,
"Miss Evers' Boys",movie,"Drama, War",1997,tt0119679,7.1,1487,
"Tom and Jerry: Robin Hood and His Merry Mouse",movie,"Action, Adventure, Animation",2012,tt2423422,6.3,1445,
"Jurassic World",movie,"Action, Adventure, Sci-Fi",2015,tt0369610,6.9,698186,
"The Latino List: Volume 2",movie,Documentary,2012,tt2690556,6.1,17,
"In the Shadow",movie,"Crime, Drama, Thriller",2012,tt1860359,7.1,1952,
"The Secret Bride",movie,Drama,1934,tt0026973,6.1,662,
Trolls,movie,"Adventure, Animation, Comedy",2016,tt1679335,6.4,96057,
"Already Famous",movie,Comedy,2011,tt2323453,6.8,80,
"Sekal Has to Die",movie,Drama,1998,tt0163019,7.3,1055,
"Solar Eclipse",movie,"Adventure, Documentary",2011,tt2140287,7.7,32,
"The Lego Movie",movie,"Action, Adventure, Animation",2014,tt1490017,7.7,399532,
"Edge of Tomorrow",movie,"Action, Adventure, Sci-Fi",2014,tt1631867,7.9,767008,
"Smurfs: The Lost Village",movie,"Adventure, Animation, Comedy",2017,tt2398241,6,25589,
"Winter's Tale",movie,"Drama, Fantasy, Mystery",2014,tt1837709,6.1,58042,
"The Education of Mohammad Hussein",movie,"Documentary, Drama, Short",2013,tt2386922,5.6,128,
"Kings Point",movie,"Comedy, Documentary, Drama",2012,tt2109153,6.6,250,
"Mondays at Racine",movie,"Documentary, Family, Short",2012,tt2083264,7.5,350,
"Hold Up!",movie,"Comedy, Crime, Thriller",2012,tt2203951,6.3,843,
Lóve,movie,"Drama, Romance",2011,tt2165959,6.2,280,
"A Dark Truth",movie,"Action, Drama, Thriller",2012,tt2083379,5.6,6405,
"Arrow in the Dust",movie,Western,1954,tt0046722,5.6,520,
"De Marathon",movie,"Comedy, Drama, Sport",2012,tt2401621,7.5,7789,
"We're the Millers",movie,"Comedy, Crime",2013,tt1723121,7,503513,
"No One Dies in Lily Dale",movie,"Documentary, Drama, History",2011,tt1609145,5.6,161,
"Fire with Fire",movie,"Action, Crime, Mystery",2012,tt1925431,5.6,27932,
"Haute Cuisine",movie,"Biography, Comedy",2012,tt2094877,6.4,7050,
"In Pursuit of Honor",movie,"Drama, Western",1995,tt0113399,7,1822,
"Kung Fu Panda 3",movie,"Action, Adventure, Animation",2016,tt2267968,7.1,202106,
"The Return of Bulldog Drummond",movie,"Action, Mystery, Thriller",1934,tt0025710,5.5,405,
"City on Fire",movie,"Action, Drama",1979,tt0078976,4.4,1688,
"Chasing Rainbows",movie,Comedy,2012,tt1872167,7,671,
"I Wake Up Yesterday",movie,"Comedy, Sci-Fi",2012,tt2321471,6.2,572,
"Beauty in Trouble",movie,"Comedy, Drama",2006,tt0449303,6.7,1037,
Primo,movie,Drama,2005,tt0466932,7.5,183,
"Justice League",movie,"Action, Adventure, Fantasy",2017,tt0974015,6,489734,
"Batman: The Dark Knight Returns, Part 2",movie,"Action, Animation, Crime",2013,tt2166834,8.3,58797,
"Houston, We Have a Problem!",movie,Comedy,2016,tt5518022,7.8,3759,
"The Mouthpiece",movie,Drama,1932,tt0023240,7.1,617,
Sabotage,movie,"Action, Crime, Drama",2014,tt1742334,5.7,67333,
"Black Panthers",movie,"Documentary, Short",1968,tt0209942,7.4,2866,
"The 100 Year-Old Man Who Climbed Out the Window and Disappeared",movie,"Adventure, Comedy",2013,tt2113681,7,43372,
"The Leap Years",movie,Romance,2008,tt0470420,5.9,177,
"Triple 9",movie,"Action, Crime, Drama",2016,tt1712261,6.3,79475,
"RED 2",movie,"Action, Comedy, Crime",2013,tt1821694,6.6,184596,
Getaway,movie,"Action, Thriller",2013,tt2167202,4.4,25576,
Prisoners,movie,"Crime, Drama, Mystery",2013,tt1392214,8.2,861062,
"The Best Man Holiday",movie,"Comedy, Drama",2013,tt2083355,6.6,17390,
"War and Peace, Part I: Andrei Bolkonsky",movie,"Drama, War",1965,tt0059884,8.2,2298,
"Flight of the Conchords",movie,Comedy,2005,tt0666198,8.6,311,
"Agent Hamilton: But Not If It Concerns Your Daughter",movie,"Action, Drama, Thriller",2012,tt1856047,5.6,3779,
"Crulic - The Path to Beyond",movie,"Animation, Biography, Documentary",2011,tt1996223,7.6,832,
"In Vogue: The Editor's Eye",movie,Documentary,2012,tt2476624,7.3,784,
"The Devil's Child",movie,"Drama, Horror, Thriller",1997,tt0123036,4,521,
"War and Peace, Part II: Natasha Rostova",movie,Drama,1965,tt0061162,8,1960,
"War and Peace, Part III: The Year 1812",movie,"Drama, History, War",1967,tt0062455,8.3,1939,
"War and Peace, Part IV: Pierre Bezukhov",movie,Drama,1967,tt0062456,8.1,1814,
"The Wind Rises",movie,"Animation, Biography, Drama",2013,tt2013293,7.8,105078,
"The Tale of The Princess Kaguya",movie,"Animation, Drama, Family",2013,tt2576852,8,57553,
"Paradise: Hope",movie,Drama,2013,tt2371834,6.6,5241,
"Scooby-Doo! Mask of the Blue Falcon",movie,"Action, Adventure, Animation",2012,tt2586070,6.6,2346,
Ambushed,movie,"Action, Drama, Thriller",1998,tt0138289,5.9,785,
"Man at War",movie,Documentary,2012,tt2508838,6.8,57,
"Boldog új élet",movie,Drama,2007,tt0944188,6.6,78,
"Chance of a Lifetime",movie,"Comedy, Drama, Romance",1998,tt0132032,5.8,275,
"Oldies But Goldies",movie,"Adventure, Comedy, Drama",2012,tt2559232,6.3,119,
"August: Osage County",movie,"Comedy, Drama",2013,tt1322269,7.2,97236,
"All Is Lost",movie,"Action, Adventure, Drama",2013,tt2017038,6.9,85210,
"Devil's Knot",movie,"Biography, Crime, Drama",2013,tt0804463,6.1,24699,
"The Angry Birds Movie",movie,"Action, Adventure, Animation",2016,tt1985949,6.3,109685,
"Bicycling with Molière",movie,"Comedy, Drama",2013,tt2207050,6.6,3213,
Interstellar,movie,"Adventure, Drama, Sci-Fi",2014,tt0816692,8.7,2306613,
Transcendence,movie,"Drama, Sci-Fi, Thriller",2014,tt2209764,6.2,242282,
"Fruitvale Station",movie,"Biography, Crime, Drama",2013,tt2334649,7.5,87550,
"On My Way",movie,"Comedy, Drama",2013,tt2289538,6.4,2652,
"White Bird in a Blizzard",movie,"Drama, Mystery, Thriller",2014,tt2238050,6.4,30623,
"A Most Wanted Man",movie,"Crime, Drama, Thriller",2014,tt1972571,6.7,82212,
"The Call",movie,"Drama, Thriller",2013,tt1911644,6.7,131933,
"Are We Alone?",movie,Documentary,2009,tt1430071,7.1,10,
"Journeys with George",movie,Documentary,2002,tt0312848,6.8,729,
Max,movie,Comedy,2012,tt2390281,5.1,306,
"Miracle in Cell No. 7",movie,"Comedy, Drama",2013,tt2659414,8.1,24988,
Faro,movie,"Adventure, Drama",2013,tt2188741,5.6,462,
"Life According to Sam",movie,"Biography, Documentary, Drama",2013,tt2558550,8.1,979,
"Manhunt: The Inside Story of the Hunt for Bin Laden",movie,"Documentary, History, War",2013,tt2475544,6.7,1236,
"Valentine Road",movie,"Crime, Documentary",2013,tt2577990,7,2017,
Domestic,movie,"Comedy, Drama, Family",2012,tt2527190,6.6,595,
"Ghost Team One",movie,"Comedy, Horror",2013,tt2272336,4.2,2449,
"Hotel Transylvania 2",movie,"Adventure, Animation, Comedy",2015,tt2510894,6.6,151217,
"Child's Pose",movie,Drama,2013,tt2187115,7.3,9017,
"Night Train to Lisbon",movie,"Mystery, Romance, Thriller",2013,tt1654523,6.8,21270,
"I Spy Returns",movie,"Action, Adventure, Comedy",1994,tt0110094,4.8,413,
"Madly Madagascar",movie,"Animation, Comedy, Family",2013,tt2702348,6.2,2704,
"How I Live Now",movie,"Action, Adventure, Drama",2013,tt1894476,6.4,32618,
"Crisis: Behind a Presidential Commitment",movie,"Documentary, History, News",1963,tt0263238,7.8,900,
"The Little Gangster",movie,Drama,1990,tt0100357,6.7,532,
"New World",movie,"Action, Crime, Drama",2013,tt2625030,7.5,27523,
"Superman: Unbound",movie,"Action, Adventure, Animation",2013,tt2617456,6.6,14099,
"Homeless: The Motel Kids of Orange County",movie,Documentary,2010,tt1706603,6.4,455,
"Robert Klein: The Amorous Busboy of Decatur Avenue",movie,"Comedy, Documentary, Music",2005,tt0495751,6.3,75,
"To Please a Lady",movie,"Action, Romance, Sport",1950,tt0043052,6.2,1202,
"Love is in the Air",movie,"Comedy, Romance",2013,tt2298384,6.3,5388,
"In Tahrir Square: 18 Days of Egypt's Unfinished Revolution",movie,"Adventure, Documentary, History",2012,tt2034696,7,162,
"Billy and Buddy",movie,"Comedy, Family",2013,tt2538654,4.4,810,
"American Hustle",movie,"Crime, Drama",2013,tt1800241,7.2,508411,
"La vraie vie des profs",movie,Comedy,2013,tt2638096,3.8,342,
"Paper Planes",movie,"Comedy, Drama, Romance",2009,tt1353804,5.7,180,
"Two Monks",movie,"Drama, Horror, Mystery",1934,tt0025062,7,805,
"Paul F. Tompkins: Driven to Drink",movie,"Comedy, Short",1999,tt0263286,6.7,151,
Möbius,movie,"Drama, Thriller",2013,tt2106550,6.1,5908,
"Inherent Vice",movie,"Comedy, Crime, Drama",2014,tt1791528,6.6,113691,
Frank,movie,"Comedy, Drama, Music",2014,tt1605717,6.9,83375,
Jappeloup,movie,"Biography, Drama, Sport",2013,tt2018079,6.6,1917,
"Mel Brooks and Dick Cavett Together Again",movie,Comedy,2011,tt2071526,8,121,
"Phil Spector",movie,"Biography, Drama, Music",2013,tt1745862,6.2,8198,
"It Boy",movie,"Comedy, Romance",2013,tt2186812,6.3,12515,
"Gasland Part II",movie,Documentary,2013,tt2795078,7.6,1746,
"Whoopi Goldberg Presents Moms Mabley",movie,"Comedy, Documentary",2013,tt2319863,7.9,352,
"Free Birds",movie,"Adventure, Animation, Comedy",2013,tt1621039,5.8,27101,
"Little Old New York",movie,"Comedy, Romance",1923,tt0014205,6.3,1134,
"Mary and Martha",movie,Drama,2013,tt2284766,6.8,3666,
"Lego Batman: The Movie - DC Super Heroes Unite",movie,"Action, Adventure, Animation",2013,tt2465238,6.4,5904,
"Veronica Mars",movie,"Crime, Drama, Mystery",2014,tt2771372,6.7,55518,
Massacre,movie,"Action, Drama",1934,tt0025479,6.9,321,
"Hard as Nails",movie,Documentary,2007,tt1010267,5.4,218,
"3 A.M. 3D",movie,Horror,2012,tt2563548,5.4,990,
"The Great Beauty",movie,Drama,2013,tt2358891,7.7,101588,
"We Are the Nobles",movie,Comedy,2013,tt2222394,7.3,10955,
"The Raid 2",movie,"Action, Crime, Thriller",2014,tt2265171,7.9,134779,
"T2 Trainspotting",movie,"Comedy, Crime, Drama",2017,tt2763304,7.1,136640,
"Point of Origin",movie,"Crime, Drama, Thriller",2002,tt0285917,5.8,1581,
"Babe Ruth",movie,"Biography, Documentary, Sport",1998,tt0166497,7.2,279,
"Vacation from Marriage",movie,"Drama, Romance",1945,tt0037980,7.1,1624,
"Justice League: The Flashpoint Paradox",movie,"Action, Adventure, Animation",2013,tt2820466,8.1,62098,
Daylight,movie,"Drama, Mystery, Thriller",2013,tt2359002,7,4305,
"Deliver Us from Evil",movie,"Crime, Horror, Mystery",2014,tt2377322,6.2,88349,
"The End",movie,Documentary,2004,tt0402162,7.2,154,
"The Gilded Cage",movie,"Comedy, Drama",2013,tt2261749,7.2,10805,
"Fall to Grace",movie,Documentary,2013,tt2763308,5.9,155,
"22 Jump Street",movie,"Action, Comedy, Crime",2014,tt2294449,7,420312,
"Walk of Shame",movie,Comedy,2014,tt2463288,6,58041,
"The Legend of Hercules",movie,"Action, Adventure, Fantasy",2014,tt1043726,4.3,56967,
"The Trials of Ted Haggard",movie,Documentary,2009,tt1364306,6.6,381,
"The Portuguese Falcon",movie,"Action, Comedy, History",2015,tt1941478,6.9,2106,
"Star Trek Beyond",movie,"Action, Adventure, Sci-Fi",2016,tt2660888,7,263867,
"Whimsical Illusions",movie,Short,1909,tt0223507,6.3,650,
René,movie,Documentary,2008,tt1334606,7.4,246,
"The Last Days on Mars",movie,"Adventure, Horror, Sci-Fi",2013,tt1709143,5.5,39730,
"American Sniper",movie,"Action, Biography, Drama",2014,tt2179136,7.3,547029,
"Dead Mine",movie,"Action, Horror",2012,tt2171847,4.5,3403,
"Blood Ties",movie,"Action, Crime, Drama",2013,tt1747958,6.5,21619,
"Third Person",movie,"Drama, Romance",2013,tt2343793,6.3,29837,
"The Other Woman",movie,"Comedy, Romance",2014,tt2203939,6,156043,
"Lone Survivor",movie,"Action, Biography, Drama",2013,tt1091191,7.5,314353,
"Lock-Up: The Prisoners of Rikers Island",movie,"Crime, Documentary",1994,tt0113684,7.6,245,
Neighbors,movie,Comedy,2014,tt2004420,6.3,336831,
Collide,movie,"Action, Adventure, Crime",2016,tt2126235,5.7,17736,
"Muhammad Ali's Greatest Fight",movie,"Biography, Drama",2013,tt2061756,6.7,2626,
"The Witch",movie,"Fantasy, Short",1906,tt0132179,6.4,886,
Annie,movie,"Comedy, Drama, Family",2014,tt1823664,5.4,41902,
"50 to 1",movie,Drama,2014,tt1777595,6.3,2350,
"Tour De Force",movie,"Comedy, Sport",2013,tt2849498,5.9,694,
"Mermaids: The New Evidence",movie,Sci-Fi,2013,tt2954660,4.4,381,
"Déjà Vu",movie,Drama,2013,tt2577862,5.9,196,
"Tom and Jerry's Giant Adventure",movie,"Adventure, Animation, Comedy",2013,tt3108584,6,1154,
"George Stevens: A Filmmaker's Journey",movie,"Biography, Documentary",1984,tt0087322,7.7,521,
Homeland,movie,"Comedy, Drama",2013,tt2844994,6.2,709,
"Young Mr. Jazz",movie,"Comedy, Short",1919,tt0010930,6.4,699,
Tapia,movie,"Documentary, Sport",2013,tt2260052,7.8,290,US
"50 Children: The Rescue Mission of Mr. and Mrs. Kraus",movie,"Documentary, History",2013,tt2131674,7.6,459,
"Wrestling Queens",movie,"Comedy, Sport",2013,tt2330546,5.5,667,
"Badges of Fury",movie,"Action, Comedy, Crime",2013,tt2644714,4.5,3206,
"Virginity Sucks",movie,Comedy,2006,tt0479117,2.3,207,
"Thunder and the House of Magic",movie,"Adventure, Animation, Comedy",2013,tt3148834,6.2,7613,
"Scooby-Doo! Stage Fright",movie,"Adventure, Animation, Comedy",2013,tt3025994,6.8,2563,
"The Man from U.N.C.L.E.",movie,"Action, Adventure, Comedy",2015,tt1638355,7.2,345183,
Homefront,movie,"Action, Crime, Thriller",2013,tt2312718,6.5,134892,
Philomena,movie,"Biography, Comedy, Drama",2013,tt2431286,7.6,105378,
Boycott,movie,"Drama, History",2001,tt0255851,7.1,1166,
"The Judge",movie,"Crime, Drama, Mystery",2014,tt1872194,7.4,212596,
"Our Kind of Traitor",movie,"Action, Crime, Drama",2016,tt1995390,6.3,24671,
"The Imitation Game",movie,"Biography, Drama, Thriller",2014,tt2084970,8,848683,
"In the Heart of the Sea",movie,"Action, Adventure, Biography",2015,tt1390411,6.9,154454,
"Miss You Can Do It",movie,"Documentary, Drama, Family",2013,tt2276000,7.9,260,
Miracle,movie,Drama,2013,tt3012818,5.8,137,
"Chinese Puzzle",movie,"Comedy, Drama, Romance",2013,tt1937118,6.9,15521,
"The Return of the Scarlet Pimpernel",movie,"Drama, History, Romance",1937,tt0030675,5.6,353,
"Kingsman: The Secret Service",movie,"Action, Adventure, Comedy",2014,tt2802144,7.7,747413,
Inferno,movie,"Action, Adventure, Crime",2016,tt3062096,6.2,194949,
"Batman v Superman: Dawn of Justice",movie,"Action, Adventure, Sci-Fi",2016,tt2975590,6.5,768449,
"The Cheshire Murders",movie,"Crime, Documentary",2013,tt2934036,6.5,3387,
"The French Minister",movie,Comedy,2013,tt2609222,6.4,4024,
"Jersey Boys",movie,"Biography, Drama, Music",2014,tt1742044,6.8,37600,
"Mike Tyson: Undisputed Truth",movie,Comedy,2013,tt3009336,7.3,3273,
"7 Pecados Rurais",movie,Comedy,2013,tt3087700,5.7,1475,
Locke,movie,Drama,2013,tt2692904,7.1,163680,
"Scooby-Doo! Adventures: The Mystery Map",movie,"Adventure, Comedy, Family",2013,tt3043386,5.2,584,
Mortdecai,movie,"Action, Adventure, Comedy",2015,tt3045616,5.5,78310,
Trans-Action,movie,Documentary,2010,,,,
Minions,movie,"Adventure, Animation, Comedy",2015,tt2293640,6.4,271078,
"Instructions Not Included",movie,"Comedy, Drama",2013,tt2378281,7.5,33446,
"Katja's Adventure",movie,Family,1999,tt0202785,5.5,238,
Chef,movie,"Adventure, Comedy, Drama",2014,tt2883512,7.3,240699,
"The Out List",movie,Documentary,2013,tt3037846,7.3,695,
"The Trip 2",movie,Comedy,2012,tt2298338,2.7,417,
"The Finishers",movie,"Drama, Sport",2013,tt2454430,6.6,1251,
"The Japanese Dog",movie,Drama,2013,tt3223280,6.5,613,MD
"Ted 2",movie,Comedy,2015,tt2637276,6.3,244868,
"Young Ones",movie,"Action, Drama, Romance",2014,tt2693664,5.8,10638,
"Fifty Shades of Grey",movie,"Drama, Romance, Thriller",2015,tt2322441,4.2,344833,
"Ghost Child",movie,Horror,2013,tt2618214,4.9,150,
"The Iceman Confesses: Secrets of a Mafia Hitman",movie,"Crime, Documentary",2001,tt0347228,7.5,1693,
"Into the Storm",movie,"Action, Adventure, Drama",2014,tt2106361,5.8,72950,
"Justice League: War",movie,"Action, Adventure, Animation",2014,tt3060952,7.2,38718,
"Last Letters Home: Voices of American Troops from the Battlefields of Iraq",movie,"Documentary, History, War",2004,tt0446729,7.4,125,
