title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"Mystic River",movie,"Crime, Drama, Mystery",2003,tt0327056,7.9,501043,
"Snakes on a Plane",movie,"Action, Adventure, Crime",2006,tt0417148,5.5,146843,
"Jurassic Park",movie,"Action, Adventure, Sci-Fi",1993,tt0107290,8.2,1109758,
Magnolia,movie,Drama,1999,tt0175880,8,336480,
"Good Bye Lenin!",movie,"Comedy, Drama, Romance",2003,tt0301357,7.7,155855,
"Night on Earth",movie,"Comedy, Drama",1991,tt0102536,7.7,68347,
"Eyes Wide Shut",movie,"Drama, Mystery, Thriller",1999,tt0120663,7.5,395681,
"Seven Samurai",movie,"Action, Drama",1954,tt0047478,8.6,381249,
"People on Sunday",movie,"Comedy, Drama, Romance",1930,tt0020163,7.3,3699,
Alien,movie,"Horror, Sci-Fi",1979,tt0078748,8.5,1008115,
"The Devil Wears Prada",movie,"Comedy, Drama",2006,tt0458352,6.9,495106,
"Batman Returns",movie,"Action, Crime, Fantasy",1992,tt0103776,7.1,338338,
"A Nightmare on Elm Street",movie,Horror,1984,tt0087800,7.4,275796,
"Rain Man",movie,Drama,1988,tt0095953,8,561385,
"Inside Man",movie,"Crime, Drama, Mystery",2006,tt0454848,7.6,410241,
"French Kiss",movie,"Comedy, Drama, Romance",1995,tt0113117,6.6,54761,
"La Strada",movie,Drama,1954,tt0047528,8,68043,
"The English Patient",movie,"Drama, Romance, War",1996,tt0116209,7.4,207911,
"Batman Forever",movie,"Action, Adventure",1995,tt0112462,5.4,273063,
"Batman & Robin",movie,"Action, Sci-Fi",1997,tt0118688,3.8,274525,
8½,movie,Drama,1963,tt0056801,8,128619,
"The Pianist",movie,"Biography, Drama, Music",2002,tt0253474,8.5,959600,
"Ice Age",movie,"Adventure, Animation, Comedy",2002,tt0268380,7.5,539436,
Vertigo,movie,"Mystery, Romance, Thriller",1958,tt0052357,8.3,442263,
"My Uncle",movie,Comedy,1958,tt0050706,7.7,25018,
"Maria Full of Grace",movie,"Crime, Drama",2004,tt0390221,7.4,36778,
Caché,movie,"Drama, Mystery, Thriller",2005,tt0387898,7.3,87543,
"A Beautiful Mind",movie,"Biography, Drama, Mystery",2001,tt0268978,8.2,1016350,
"Erin Brockovich",movie,"Biography, Drama",2000,tt0195685,7.5,232010,
"Stranger Than Paradise",movie,"Comedy, Drama",1984,tt0088184,7.4,41832,
"Bonnie and Clyde",movie,"Action, Biography, Crime",1967,tt0061418,7.7,124042,
"Good Will Hunting",movie,"Drama, Romance",1997,tt0119217,8.3,1126396,
"The Seventh Seal",movie,"Drama, Fantasy",1957,tt0050976,8.1,206612,
"Being John Malkovich",movie,"Comedy, Drama, Fantasy",1999,tt0120601,7.7,360965,
"The Green Mile",movie,"Crime, Drama, Fantasy",1999,tt0120689,8.6,1472786,
"Cléo from 5 to 7",movie,"Comedy, Drama, Music",1962,tt0055852,7.8,29132,
Poseidon,movie,"Action, Adventure, Thriller",2006,tt0409182,5.7,112634,
Marnie,movie,"Crime, Drama, Mystery",1964,tt0058329,7.1,55887,
"Notting Hill",movie,"Comedy, Drama, Romance",1999,tt0125439,7.2,361951,
